nombre,tienda,precio,estrellas,reviews,descripcion,especificaciones,categoria,categoria_path,url,imagen,sku,score
ASUS Dual GeForce RTX™ 5060 Ti 16GB GDDR7 OC Edition,ASUS,981888.0,4.5,100.0,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7 OC Edition con dos potentes ventiladores Axialtech y un diseño de 25 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx5060ti-o16g/,https://dlcdnwebimgs.asus.com/gain/d9408583-9a6f-4a2b-b721-c09f1fe8cf99/w185,31096,3.814621212121212
ASUS Dual GeForce RTX™ 5060 Ti 8GB GDDR7,ASUS,923429.0,4.5,100.0,ASUS Dual GeForce RTX 5060 Ti 8GB GDDR7 con dos potentes ventiladores Axialtech y un diseño de 25 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx5060ti-8g/,https://dlcdnwebimgs.asus.com/gain/be8d5bf5-a6e0-494d-82cb-521a736eaa95/w185,31103,3.814621212121212
ASUS Dual GeForce RTX™ 5060 Ti 8GB GDDR7 OC Edition,ASUS,959013.0,4.5,100.0,ASUS Dual GeForce RTX 5060 Ti 8GB GDDR7 OC Edition con dos potentes ventiladores Axialtech y un diseño de 25 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx5060ti-o8g/,https://dlcdnwebimgs.asus.com/gain/e4609242-8600-436e-8bfc-f0d27b6f0984/w185,31102,3.814621212121212
ASUS Dual GeForce RTX™ 5060 White Edition 8GB GDDR7,ASUS,887683.0,4.5,100.0,ASUS Dual GeForce RTX 5060 White Edition 8GB GDDR7 con dos potentes ventiladores Axialtech y un diseño de 25 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx5060-8g-white/,https://dlcdnwebimgs.asus.com/gain/625589a4-ca3a-40ec-81ae-8c7de969bfe0/w185,33391,3.814621212121212
ASUS Dual GeForce RTX™ 5060 White OC Edition 8GB GDDR7,ASUS,1152807.0,4.5,100.0,ASUS Dual GeForce RTX 5060 White OC Edition 8GB GDDR7 con dos potentes ventiladores Axialtech y un diseño de 25 ranuras para una amplia compatibilidad,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rtx5060-o8g-white/,https://dlcdnwebimgs.asus.com/gain/abb168cf-5ba6-4355-a96d-2bfc1ffcfd91/w185,33390,3.814621212121212
ASUS Dual Radeon™ RX 7600 EVO OC Edition 8GB GDDR6,ASUS,1267508.0,4.5,100.0,ASUS Dual Radeon RX 7600 EVO Edición OC de 8GB GDDR6 está optimizada por dentro y por fuera para brindar temperaturas más bajas y mayor durabilidad,{},AMD,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rx7600-o8g-evo/,https://dlcdnwebimgs.asus.com/gain/e36c178d-d777-48c1-8188-626f8892f08f/w185,29689,3.814621212121212
ASUS Dual Radeon™ RX 7600 V2 OC Edition 8GB GDDR6,ASUS,1025189.0,4.5,100.0,ASUS Dual Radeon RX 7600 V2 OC Edition 8GB GDDR6 optimizada por dentro y por fuera para temperaturas más bajas y durabilidad,{},AMD,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rx7600-o8g-v2/,https://dlcdnwebimgs.asus.com/gain/6686f6ff-e545-4283-b7d1-893a41939826/w185,23661,3.814621212121212
ASUS Dual Radeon™ RX 7600 XT OC Edition 16GB GDDR6,ASUS,917322.0,4.5,100.0,ASUS Dual Radeon RX 7600 XT OC Edition 16GB GDDR6 está preparado para distribuir marcos y mantener los signos vitales bajo control,{},AMD,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rx7600xt-o16g/,https://dlcdnwebimgs.asus.com/gain/6300af2d-862b-4b0a-ae8d-8a9e9ab196e6/w185,25125,3.814621212121212
ASUS Dual Radeon™ RX 7700 XT OC Edition 12GB GDDR6,ASUS,1080296.0,4.5,100.0,ASUS Dual Radeon RX 7700 XT OC Edition 12GB GDDR6 está lista para entregar todos los cuadros por segundo que necesitas manteniendo los signos vitales bajo control,{},AMD,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rx7700xt-o12g/,https://dlcdnwebimgs.asus.com/gain/6b6e3a10-30da-4e60-87b4-bbdd9e79e957/w185,25085,3.814621212121212
ASUS Dual Radeon™ RX 7800 XT OC Edition 16GB GDDR6,ASUS,779001.0,4.5,100.0,ASUS Dual Radeon RX 7800 XT OC Edition 16GB GDDR6 está lista para entregar todos los cuadros por segundo que necesitas manteniendo los signos vitales bajo control,{},AMD,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rx7800xt-o16g/,https://dlcdnwebimgs.asus.com/gain/14c78fa4-b737-4bc1-9d74-cd74ef0889ad/w185,25084,3.814621212121212
ASUS Dual Radeon™ RX9060XT 8G GDDR6,ASUS,810940.0,4.5,100.0,ASUS Dual Radeon RX9060XT 8G GDDR6 con dos potentes ventiladores Axialtech y un diseño de 25 ranuras para amplia compatibilidad,{},AMD,"['Motherboards-Components', 'Graphics-Cards', 'Dual']",https://www.asus.com/ar/motherboards-components/graphics-cards/dual/dual-rx9060xt-8g/,https://dlcdnwebimgs.asus.com/gain/d2125d7d-adb2-4fdd-b7bf-934a429778c6/w185,32181,3.814621212121212
ASUS GeForce 710 2GB DDR3 EVO,ASUS,1010994.0,4.5,100.0,Tarjeta gráfica ASUS GeForce GT 710 2GB DDR3 EVO de perfil bajo para ensambles HTPC silenciosos,{},NVIDIA,"['Motherboards-Components', 'Graphics-Cards', 'ASUS']",https://www.asus.com/ar/motherboards-components/graphics-cards/asus/gt710-sl-2gd3-brk-evo/,https://dlcdnwebimgs.asus.com/gain/e7ee1d69-0f51-4bd7-b20b-57cf2f7fc52f/w185,20883,3.814621212121212
ASUS Laptop E410MA,ASUS,931055.0,4.5,100.0,Windows 11 Home ASUS recomienda Windows 11 Pro para empresas Procesador Intel Celeron hasta N4020 Gráficos Intel UHD 600 Memoria RAM hasta 4 GB Almacenamiento hasta 128 GB eMMC Pantalla hasta 14 NanoEdge HD Motivo exclusivo de ASUS en la tapa Tecla Enter de bloqueo de color con tres opciones de color únicas Diseño innovador de NumberPad Bisagra plana de 180 grados Fina y liviana 13kg 1845mm,{},Duración de batería,"['Laptops', 'For-Home', 'All-series']",https://www.asus.com/ar/laptops/for-home/all-series/asus-e410/,https://dlcdnwebimgs.asus.com/gain/881d61d8-f5c3-4df0-bf41-d925e3a7ebad/w185,14587,3.814621212121212
